Monument Location,Monument,Site(s) Named,Site(s) Named,Gregorian Year,Reference,Notes,Likely Dupli-cates
Aguateca,Stela 02,,,737,Kennet et al. 2012,,
Bonampak,Lintel 04,,,603,Kennet et al. 2012,,
Bonampak,Column,,,715,Kennet et al. 2012,,
Bonampak,Lintel 03,,,741,Kennet et al. 2012,,
Bonampak,Lintel 01,,,787,Kennet et al. 2012,,
Bonampak,Lintel 02,Yaxchilan,,792,Kennet et al. 2012,,
Caracol,Altar 21,Mutal (Tikal),,556,Kennet et al. 2012,,
Caracol,B16 Stucco,,,626,Kennet et al. 2012,,
Caracol,Stela 03,,,627,Kennet et al. 2012,,
Caracol,Stela 03,Naranjo,,632,Kennet et al. 2012,,
Caracol,Altar 23,,,801,Kennet et al. 2012,,
Caracol,Altar 12,Mutal (Tikal),,820,Kennet et al. 2012,,
Caracol,Altar 12,Mutal (Tikal),,820,Kennet et al. 2012,,1
Caracol,Altar 12,,,820,Kennet et al. 2012,,1
Chichen Itza,Casa Colorada frieze,,,870,Kennet et al. 2012,,
Chichen Itza,Las Monjas,,,880,Kennet et al. 2012,,
Chichen Itza,Las Monjas,,,880,Kennet et al. 2012,,1
Chichen Itza,Temple of the Four Lintels Lintel 02,,,881,Kennet et al. 2012,,
Chinikiha,Throne,,,574,Kennet et al. 2012,,
Dos Pilas,"HS 04, Step 4",,,648,Kennet et al. 2012,,
Dos Pilas,"HS 02 east, Step 04",Mutal (Tikal),,657,Kennet et al. 2012,,
Dos Pilas,"HS 02 east, Step 01",,,664,Kennet et al. 2012,,
Dos Pilas,"HS 02 east, Step 01",,,664,Kennet et al. 2012,,1
Dos Pilas,"HS 02 west, Step 04",,,678,Kennet et al. 2012,,
Dos Pilas,"HS 04, Step 3",,,678,Kennet et al. 2012,,
Dos Pilas,"HS 02 west, Step 03",,,679,Kennet et al. 2012,,
Dos Pilas,"HS 02 west, Step 03",,,679,Kennet et al. 2012,,1
Dos Pilas,"HS 04, Step 5",,,679,Kennet et al. 2012,,1
Dos Pilas,Stela 02,Seibal,,736,Kennet et al. 2012,,
Dos Pilas,Stela 02,,,736,Kennet et al. 2012,,
Dos Pilas,Stela 02,,,736,Kennet et al. 2012,,1
Itzan,Stela 17,,,746,Kennet et al. 2012,,
Itzan,Stela 17,,,768,Kennet et al. 2012,,
Itzan,Stela 17,,,768,Kennet et al. 2012,,1
Itzan,Stela 17,,,781,Kennet et al. 2012,,
