"YearCE" "Conflict" "Monuments" "Monuments_adj" "Cariaco_Rub_SST" "Cariaco_Bull_SST" "YokCave_d18O"
292 0 2 2 28.0627 27.3554 -3.48
293 0 0 0 28.0068 27.4072 -3.43
294 0 0 0 27.9336 27.4587 -3.65
295 0 0 0 27.8513 27.6799 -3.8
296 0 0 0 27.8365 27.9431 -3.64
297 0 1 1 27.9691 28.2 -3.68
298 0 0 0 28.2043 28.3478 -3.63
299 0 0 0 28.1386 28.469 -3.68
300 0 0 0 28.0631 28.5889 -3.635
301 0 0 0 27.9931 28.4086 -4.11
302 0 0 0 27.924 28.1634 -3.56
303 0 0 0 27.9807 27.9126 -3.75
304 0 0 0 28.1568 27.5936 -3.82
305 0 0 0 28.2568 27.2546 -3.91
306 0 0 0 28.2025 26.9045 -3.67
307 0 0 0 28.0879 26.9259 -3.48
308 0 0 0 27.9864 26.9952 -3.68
309 0 0 0 27.9612 27.064 -3.62
310 0 0 0 28.0155 27.0977 -3.51
311 0 0 0 28.061 27.128 -3.53
312 0 0 0 28.0254 27.1583 -3.46
313 0 0 0 27.9851 27.1245 -3.575
314 0 0 0 28.0241 27.0866 -3.42
315 0 0 0 28.0504 27.0485 -3.55
316 0 0 0 28.0367 27.2808 -3.59
317 0 0 0 28.0171 27.5172 -3.49
318 0 0 0 28.1141 27.7486 -3.55
319 0 0 0 28.337 27.6645 -3.81
320 0 0 0 28.4227 27.5777 -3.72
321 0 0 0 28.4429 27.4902 -3.755
322 0 0 0 28.4499 27.4093 -3.82
323 0 1 1 28.4499 27.3278 -4.03
324 0 0 0 28.4408 27.2233 -3.93
325 0 0 0 28.3111 26.645 -4
326 0 0 0 28.2105 26.0342 -4.01
327 0 0 0 28.1834 25.4947 -3.8
328 0 0 0 28.1585 26.2677 -3.865
329 0 0 0 28.1467 26.9893 -3.62
330 0 0 0 28.1395 27.5559 -3.545
331 0 0 0 28.1371 27.1023 -3.59
332 0 0 0 28.1343 26.6289 -4.025
333 0 0 0 28.1235 26.2449 -3.51
334 0 0 0 28.1266 26.6085 -3.86
335 0 0 0 28.1606 26.9603 -3.635
336 0 0 0 28.2012 27.2266 -3.86666666666667
337 0 0 0 28.2029 27.0754 -3.5
338 0 0 0 28.1861 26.9221 -3.755
339 0 0 0 28.2023 26.834 -3.68833333333333
340 0 0 0 28.2725 27.0498 -3.56
341 0 0 0 28.2886 27.2613 -3.585
342 0 0 0 28.1713 27.3713 -3.97166666666667
343 0 0 0 28.0141 27.1013 -3.86
344 0 0 0 27.9726 26.8244 -4.145
345 0 0 0 27.9221 26.5571 -3.96
346 0 0 0 27.8528 26.3394 -3.7725
347 0 0 0 27.7832 26.1172 -3.535
348 0 0 0 27.7871 26.0416 -3.49333333333333
349 0 0 0 27.8889 26.3877 -3.655
350 0 0 0 27.8704 26.723 -3.57333333333333
351 0 0 0 27.8377 26.9251 -3.71333333333333
352 0 0 0 27.9059 26.8166 -4.05333333333333
353 0 0 0 28.0349 26.7069 -4.23074074074074
354 0 0 0 28.1357 26.5686 -3.82
355 0 0 0 28.1774 26.3674 -3.66
356 0 0 0 28.1756 26.1623 -3.64444444444444
357 0 2 2 28.073 25.9534 -3.72
358 0 0 0 27.9441 25.7403 -4.29157894736842
359 0 0 0 28.0482 25.5229 -4.245
360 0 0 0 28.1076 25.5962 -4.07912280701754
361 0 0 0 28.2157 26.1571 -3.92684210526316
362 0 0 0 28.362 26.6905 -3.81666666666667
363 0 0 0 28.2047 26.9957 -3.67
364 0 0 0 28.0101 26.9804 -3.50666666666667
365 0 0 0 27.9242 26.965 -3.78
366 0 0 0 27.9161 26.9625 -3.545
367 0 0 0 28.1178 26.9779 -3.475
368 0 0 0 28.4641 26.9933 -4.01333333333333
369 0 0 0 28.5688 27.0598 -3.585
370 0 0 0 28.3319 27.1886 -3.505
371 0 0 0 28.1156 27.3159 -3.605
372 0 0 0 27.9547 27.2768 -3.47
373 0 0 0 27.8647 27.0503 -3.42
374 0 0 0 28.0042 26.8189 -3.595
375 0 0 0 28.1098 26.7682 -3.675
376 0 2 2 28.1055 26.9005 -3.815
377 0 0 0 28.0954 27.0312 -3.9
378 0 2 2 28.1436 27.0081 -4.095
379 1 2 2 28.2088 26.8461 -4.025
380 0 0 0 28.2524 26.6816 -3.55727272727273
381 0 0 0 28.286 26.8077 -3.56
382 0 0 0 28.3489 27.1608 -3.44
383 0 0 0 28.4513 27.5028 -3.41
384 0 0 0 28.4554 27.6097 -3.55
385 0 0 0 28.3158 27.5516 -3.49
386 0 0 0 28.1918 27.4931 -3.76
387 0 0 0 28.2768 27.412 -3.69
388 0 0 0 28.4261 27.3156 -3.8
389 0 0 0 28.4751 27.2184 -3.705
390 0 0 0 28.461 27.077 -3.59
391 0 0 0 28.3858 26.9083 -3.62
392 0 0 0 28.2955 26.7369 -3.55
393 0 2 2 28.1201 26.6309 -3.825
394 0 0 0 27.9638 26.5593 -4.32
395 0 0 0 27.9606 26.4873 -3.83
396 1 2 2 28.1148 26.4646 -3.66
397 0 0 0 28.2397 26.4646 -3.89
398 0 0 0 28.234 26.4646 -3.79
399 0 0 0 28.2632 26.5447 -3.65
400 0 1 1 28.3694 26.656 -3.965
401 0 0 0 28.4985 26.7662 -4.19
