YearCE,MgCaRub,SSTRub,MgCaBull,SSTBull      
-60,4.4658,NaN,6.3172,NaN
-59,4.5094,NaN,6.2373,NaN
-58,4.553,NaN,6.1574,NaN
-57,4.5967,NaN,6.0774,NaN
-56,4.6403,NaN,5.9975,NaN
-55,4.6639,NaN,5.9175,NaN
-54,4.6748,NaN,5.8376,NaN
-53,4.6857,NaN,5.7577,NaN
-52,4.6966,NaN,5.6777,NaN
-51,4.7075,NaN,5.5978,NaN
-50,4.7184,NaN,5.5178,NaN
-49,4.7293,NaN,5.4379,NaN
-48,4.7402,NaN,5.358,NaN
-47,4.7511,NaN,5.278,NaN
-46,4.762,NaN,5.1981,NaN
-45,4.7728,NaN,5.1181,NaN
-44,4.7837,NaN,5.0382,NaN
-43,4.7946,NaN,4.9583,NaN
-42,4.8055,NaN,4.8783,NaN
-41,4.8164,NaN,4.7984,NaN
-40,4.8273,NaN,4.7185,NaN
-39,4.8382,NaN,4.6426,NaN
-38,4.8491,NaN,4.5868,NaN
-37,4.86,NaN,4.5311,NaN
-36,4.8709,NaN,4.4754,NaN
-35,4.8818,NaN,4.4304,NaN
-34,4.8927,NaN,4.5675,NaN
-33,4.9036,NaN,4.7045,NaN
-32,4.9145,NaN,4.8416,NaN
-31,4.9254,NaN,4.9787,NaN
-30,4.8534,NaN,5.074,NaN
-29,4.7765,NaN,5.167,NaN
-28,4.6996,NaN,5.2599,NaN
-27,4.6228,NaN,5.3529,NaN
-26,4.6421,NaN,5.245,NaN
-25,4.6807,NaN,5.0969,NaN
-24,4.7193,NaN,4.9488,NaN
-23,4.7579,NaN,4.8007,NaN
-22,4.7965,NaN,4.7054,NaN
-21,4.8351,NaN,4.6303,NaN
-20,4.8737,28.1948,4.5552,26.501
-19,4.9122,28.4574,4.4801,26.3203
-18,4.9508,28.417,4.4113,26.1521
-17,4.9894,28.3136,4.3465,25.9912
-16,5.028,28.1818,4.2817,25.8279
-15,5.0666,28.0591,4.2169,25.6622
-14,5.1052,27.9923,4.2811,25.8265
-13,5.1438,27.9245,4.4744,26.3064
-12,5.1824,28.0047,4.6677,26.766
-11,5.2209,28.1651,4.8609,27.207
-10,5.2426,28.1905,4.9633,27.4336
-9,5.2377,28.1888,4.9229,27.3447
-8,5.2328,28.1539,4.8825,27.2551
-7,5.2279,28.1393,4.8421,27.1648
-6,5.2022,28.1774,4.8053,27.0818
-5,5.1223,28.1947,4.7778,27.0195
-4,5.0425,28.0627,4.7503,26.9568
-3,4.9626,27.9417,4.7228,26.8937
-2,4.892,27.9189,4.7142,26.8739
-1,4.8675,27.9144,4.7999,27.0697
0,4.843,27.9806,4.8857,27.2621
1,4.8185,28.0045,4.9714,27.4512
2,4.7961,28.063,5.0466,27.6144
3,4.8097,28.1765,4.9433,27.3896
4,4.8233,28.1631,4.84,27.1601
5,4.8368,28.1432,4.7367,26.9256
6,4.8504,28.1056,4.6334,26.686
7,4.864,28.0758,4.709,26.8619
8,4.8776,28.0709,4.7952,27.059
9,4.8912,28.0619,4.8813,27.2525
10,4.9048,28.0401,4.9675,27.4427
11,4.9184,28.04,5.1353,27.8039
12,4.932,28.1343,5.3195,28.187
13,4.9456,28.2234,5.5037,28.557
14,4.9592,28.0456,5.688,28.9148
15,4.9728,27.9006,5.5463,28.6406
16,4.9863,27.8888,5.2792,28.1043
17,4.9999,27.8986,5.0122,27.54
18,5.0135,27.9992,4.7451,26.9449
19,4.9183,28.0528,4.8193,27.1136
20,4.7539,27.9163,5.1107,27.7517
21,4.5894,27.8243,5.4021,28.3544
22,4.4249,27.7878,5.6935,28.9254
23,4.3621,27.7785,5.7994,29.1258
24,4.401,27.7681,5.7199,28.9758
25,4.4399,27.7927,5.6404,28.8237
26,4.4788,27.9163,5.561,28.6694
27,4.5177,27.9915,5.4815,28.5129
28,4.5565,27.9023,5.402,28.3541
29,4.5954,27.8307,5.3225,28.193
30,4.6343,27.7861,5.243,28.0294
31,4.6681,27.7704,5.1738,27.8851
32,4.6886,27.8046,5.1315,27.7957
33,4.7092,27.8263,5.0891,27.7056
34,4.7297,27.7906,5.0468,27.6148
35,4.7503,27.7604,5.0169,27.5502
36,4.7708,27.7729,5.0493,27.6202
37,4.7914,27.8156,5.0817,27.6897
38,4.8119,27.9399,5.1141,27.7589
39,4.8325,27.9859,5.1396,27.813
40,4.853,27.8891,5.0485,27.6186
41,4.8736,27.8467,4.9574,27.4206
42,4.8941,27.8265,4.8663,27.219
43,4.9147,27.8862,4.7752,27.0135
44,4.9352,28.0625,4.7281,26.9058
45,4.9558,28.1612,4.6836,26.8031
46,4.9763,28.1662,4.6391,26.6994
47,4.9969,28.1499,4.5946,26.5946
48,5.0174,28.0983,4.6107,26.6326
49,5.038,28.1146,4.6389,26.6989
50,5.0585,28.214,4.6671,26.7647
51,5.0791,28.2094,4.6953,26.8302
52,5.0997,28.1312,4.7368,26.9259
53,5.1202,28.1118,4.7835,27.0325
54,5.1408,28.1378,4.8301,27.138
55,5.1613,28.2174,4.8768,27.2424
56,5.103,28.3478,4.9202,27.3388
57,4.9946,28.4004,4.9616,27.4298
58,4.8862,28.339,5.003,27.5201
59,4.7777,28.2662,5.0443,27.6096
60,4.7131,28.2324,5.0496,27.6209
61,4.6922,28.2315,5.0188,27.5543
62,4.6713,28.2507,4.9879,27.4873
63,4.6503,28.2712,4.9571,27.4199
64,4.6294,28.2842,4.9443,27.3918
65,4.6085,28.3022,4.9598,27.4259
66,4.5876,28.3252,4.9753,27.4599
67,4.5667,28.2755,4.9909,27.4938
68,4.5619,28.143,4.9988,27.5111
69,4.5988,28.1296,4.9871,27.4856
70,4.6356,28.2419,4.9754,27.4601
71,4.6725,28.3238,4.9638,27.4345
72,4.6958,28.3723,4.962,27.4306
73,4.6509,28.3532,5.0097,27.5346
74,4.6061,28.2713,5.0574,27.6376
75,4.5613,28.2228,5.1051,27.7397
76,4.5332,28.2272,5.1444,27.8232
77,4.7912,28.3994,5.0414,27.6033
78,5.0492,28.6393,4.9384,27.3789
79,5.3072,28.8115,4.8354,27.1498
80,5.5652,28.8813,4.7324,26.9157
81,5.3859,28.7742,4.7933,27.0546
82,5.1809,28.6829,4.8638,27.2134
83,4.9758,28.5712,4.9343,27.3698
84,4.7708,28.4161,5.0048,27.5241
85,4.7131,28.3377,4.8923,27.2769
86,4.6849,28.3326,4.7431,26.9404
87,4.6568,28.2902,4.594,26.5931
88,4.6286,28.1778,4.4449,26.2344
89,4.6429,28.1572,4.417,26.1661
90,4.6736,28.2683,4.4358,26.2122
91,4.7043,28.379,4.4546,26.2581
92,4.7351,28.4755,4.4733,26.3038
93,4.7915,28.5057,4.4921,26.3493
94,4.8643,28.4363,4.5109,26.3946
95,4.9372,28.3743,4.5296,26.4398
96,5.01,28.3658,4.5484,26.4847
97,4.931,28.3324,4.5583,26.5083
98,4.7003,28.3189,4.5593,26.5106
99,4.4695,28.2136,4.5603,26.513
100,4.2387,27.9933,4.5612,26.5153
101,4.1194,27.9385,4.5596,26.5114
102,4.1753,28.1506,4.5538,26.4977
103,4.2311,28.3191,4.5481,26.4839
104,4.287,28.225,4.5423,26.4702
105,4.3356,28.1674,4.5323,26.4461
106,4.3656,28.1887,4.5111,26.3953
107,4.3956,28.1927,4.49,26.3442
108,4.4255,28.1593,4.4689,26.2929
109,4.4744,28.1759,4.4552,26.2597
110,4.6177,28.3559,4.4793,26.3182
111,4.761,28.4659,4.5033,26.3763
112,4.9043,28.2545,4.5273,26.4342
113,5.0343,28.1457,4.5511,26.4911
114,4.9384,28.2115,4.5705,26.5375
115,4.8425,28.2709,4.59,26.5836
116,4.7466,28.3419,4.6095,26.6296
117,4.6506,28.343,4.6289,26.6754
118,4.7191,28.2444,4.5932,26.5913
119,4.7973,28.1981,4.5543,26.4988
120,4.8754,28.4172,4.5154,26.4055
121,4.9536,28.5637,4.4765,26.3114
122,4.856,28.5049,4.4964,26.3596
123,4.7232,28.413,4.528,26.4358
124,4.5905,28.2274,4.5596,26.5114
125,4.4577,28.0607,4.5912,26.5865
126,4.5513,28.2657,4.6228,26.6611
127,4.732,28.4822,4.6545,26.7352
128,4.9127,28.6603,4.6861,26.8088
129,5.0933,28.816,4.7177,26.8819
130,5.1383,28.8245,4.7374,26.9273
131,5.0968,28.7834,4.7496,26.9552
132,5.0553,28.6612,4.7618,26.9829
133,5.0138,28.5062,4.7739,27.0107
134,4.9378,28.5626,4.8201,27.1154
135,4.8272,28.5525,4.9004,27.2949
136,4.7166,28.4354,4.9807,27.4715
137,4.6061,28.3003,5.0609,27.6453
138,4.5787,28.1437,5.0788,27.6835
139,4.682,28.0375,4.9985,27.5104
140,4.7853,28.1755,4.9182,27.3344
141,4.8887,28.3341,4.838,27.1555
142,4.9693,28.3329,4.7773,27.0184
143,4.9907,28.2841,4.7676,26.9962
144,5.0122,28.4224,4.7578,26.974
145,5.0336,28.6077,4.7481,26.9517
146,5.0355,28.3826,4.7286,26.9071
147,4.9394,28.2407,4.6605,26.7494
148,4.8434,28.2433,4.5924,26.5894
149,4.7473,28.3054,4.5243,26.427
150,4.66,28.308,4.4611,26.274
151,4.7227,28.3541,4.4805,26.3213
152,4.7854,28.4162,4.5,26.3684
153,4.8481,28.4868,4.5195,26.4153
154,4.9107,28.5643,4.5389,26.462
155,4.7685,28.555,4.5239,26.426
156,4.6143,28.4431,4.5069,26.385
157,4.4601,28.2887,4.4899,26.3439
158,4.3058,28.2416,4.4728,26.3026
159,4.3626,28.3445,4.5511,26.4911
